"food_id","food_name","portion_size","calorie","protein_gr","carbohydrate_gr","fat_gr"
"27341000",Chicken or turkey,Per 100g,123.0,4.51,13.27,6.11
"27343910",Chicken or turkey chow mein or chop suey with noodles,Per 100g,131.0,9.91,11.15,5.43
"27348100",Chicken fricassee,Per 100g,172.0,12.13,7.17,10.65
"27350020",Paella with seafood,Per 100g,143.0,8.03,16.44,4.76
"27350050",Shrimp chow mein or chop suey with noodles,Per 100g,117.0,9.05,11.37,4.03
"27350060",Shrimp creole,Per 100g,123.0,10.12,11.92,3.64
"27350080",Tuna noodle casserole with vegetables,Per 100g,149.0,8.99,14.16,6.22
"27350110",Soup,Per 100g,67.0,8.25,1.59,3.05
"27350410",Tuna noodle casserole with vegetables and mushroom sauce,Per 100g,124.0,8.11,12.96,4.46
"27351010",Codfish with starchy vegetables,Per 100g,135.0,3.53,18.46,5.43
"27351040",Biscayne codfish,Per 100g,190.0,9.2,11.06,12.24
"27360080",Chow mein or chop suey,Per 100g,131.0,9.91,11.15,5.43
"27360090",Paella,Per 100g,169.0,9.53,15.77,7.17
"27362000",Stewed tripe,Per 100g,109.0,8.56,9.49,4.05
"27363000",Gumbo with rice (Includes: shellfish,Per 100g,89.0,8.16,6.55,3.43
"27363100",Jambalaya with meat and rice (Includes: chicken and sausage jambalaya),Per 100g,161.0,13.76,8.65,7.97
"27410210",Beef and vegetables including carrots,Per 100g,116.0,11.41,3.0,6.73
"27410220",Beef and vegetables excluding carrots,Per 100g,121.0,10.03,5.16,7.09
"27410250",Beef shish kabob with vegetables,Per 100g,122.0,14.8,5.06,4.88
"27411100",Beef with vegetables including carrots,Per 100g,110.0,8.24,4.48,6.99
"27411120",Swiss steak,Per 100g,115.0,15.48,3.67,4.42
"27411150",Beef rolls,Per 100g,195.0,20.56,6.61,9.08
"27411200",Beef with vegetables excluding carrots,Per 100g,115.0,7.67,5.96,7.18
"27415110",Beef and broccoli,Per 100g,160.0,10.43,5.09,10.63
"27415130",Szechuan beef,Per 100g,105.0,7.08,7.29,5.3
"27415140",Hunan beef,Per 100g,105.0,7.08,7.29,5.3
"27415150",Beef chow mein or chop suey,Per 100g,82.0,10.76,3.85,2.61
"27415170",Kung Pao beef,Per 100g,216.0,17.93,4.55,14.44
"27416100",Beef and vegetables,Per 100g,93.0,4.79,14.24,2.24
"27416150",Pepper steak,Per 100g,145.0,11.88,4.34,9.12
"27416250",Beef salad,Per 100g,261.0,17.85,2.9,19.32
"27416300",Beef taco filling: beef,Per 100g,181.0,12.97,6.37,11.32
"27416400",Stir fried beef and vegetables in soy sauce (Includes: Sukiyaki),Per 100g,102.0,10.73,4.44,4.81
"27418410",Beef steak with onions,Per 100g,321.0,20.92,3.89,24.12
"27420010",Cabbage with ham hocks,Per 100g,75.0,7.75,4.9,2.58
"27420020",Ham or pork salad,Per 100g,230.0,13.26,2.83,18.09
"27420040",Frankfurters or hot dogs and sauerkraut,Per 100g,198.0,7.56,3.42,17.31
"27420060",Pork and vegetables including carrots,Per 100g,123.0,11.2,3.14,7.27
"27420080",Greens with ham or pork,Per 100g,47.0,4.91,4.68,1.41
"27420110",Pork and vegetables,Per 100g,89.0,7.43,6.97,3.64
